TweetID,Username,Text,CreateDate,Biased,Calling_Out,Keyword
1300750977352556544,MatthewEGunter,"â€œTo believe that these social outcomes are a result of systemic racism would necessitate believing that East Asians, Indians, and female black African immigrants have more white privilege than white people.â€ https://t.co/Q40xLYPkeG",2020-09-01 11:02:54+00:00,0,0,Asians
1234887425144561665,ConnieCollette3,"RT @DonaldJTrumpJr: When @realDonaldTrump first shut down travel from China Dems said it was too early and he was being xenophobic agains Asians.   Remember: Dems would definitely never, EVER politicize the Coronavirus https://t.co/FGf1qVGIWQ",2020-03-03 17:04:39+00:00,0,0,Asians
1224636268975480833,be745599742,"RT @PleasureTgirl: Goodmorning, Have A Nice Dayâ¤ï¸ FollowðŸ‘‡ðŸ‘‡ðŸ‘‡ @AlfonsoMtzMora @Shemalechannel @asians_ladyboys @tskendramoore @WeLoveTGirlz @Travestis_vips @translovelies @lexcananlex @Jamie_Fiel @Transxlove @tsoncams @323_She https://t.co/WnxlBNjLbZ",2020-02-04 10:10:13+00:00,0,0,Asians
1262552097075200017,RAsianamerican,"Asians in the US least likely to get coronavirus infection despite racist assumptions of many, data suggests via /r/asianamerican https://t.co/mmLmlEcmab",2020-05-19 01:14:11+00:00,0,0,Asians
1238955553864462343,havertzbf,"@hyejoohobi This is just the dumbest tweet I have ever read in my whole life. If you are against racism, if you think it's wrong to make jokes about asians and saying it's their fault then why are you being ""racist"" yourself? You had a point and you loosed it by meing racist and mean.",2020-03-14 22:29:57+00:00,0,1,Asians
1324905858887725056,tmwsiy,"@NR_Garrett He got more votes from Blacks, Latinos, Jews, Asians and Pacific Islanders also. So I guess, it is an everyone problem.",2020-11-07 02:45:46+00:00,0,0,Asians
1264660325015736320,justjokesbykay,RT @yimmygee: asians will be like japan colonized my country and weebs will be like no naruto would never have done that,2020-05-24 20:51:32+00:00,0,0,Asians
1332609054745583617,PeerlessPeach,RT @tanchunkiet: One interesting phenomenon re: romanization of Chinese names is sometimes it's very difficult to tell what the original character of the family name is. Especially with SE Asians who trace their ancestry back to China. 1/14,2020-11-28 08:55:31+00:00,0,0,Asians
1309527749174812674,kyung_smol,I hate it here. We south Asians are all alone in appreciating our culture and it hurts sometimes,2020-09-25 16:18:39+00:00,0,0,Asians
1275817967083819008,MJTdesigns,"RT @ProjectLincoln: Trump has insulted Asians (kung flu), African Americans (sons of bitches) and Latinos (rapists).  Confederates? â€œBeautiful monumentsâ€ and â€œgreat heritage.â€  What does that say about Trumpâ€™s America?",2020-06-24 15:48:01+00:00,0,1,Asians
1304160642010505217,froyoee,asians really sufferingðŸ’”,2020-09-10 20:51:41+00:00,0,0,Asians
1313849801021120515,MMOLiberty,@Boomieleaks @MsMelChen Lack of tutoring and prep classes? Test is biased toward Asians?,2020-10-07 14:32:57+00:00,0,0,Asians
1266410040350715904,itsshxy_,RT @l2w_zai: Majority of Mexicans and Asians saying nigga be silent during shit like this nah be a nigga now,2020-05-29 16:44:17+00:00,0,0,Asians
1259887518625005573,vipulmahajan14,"RT @davidfrawleyved: Genetic results show Vedic culture was indigenous to India, not brought by so-called invading Aryans. Rakhigarhi DNA shows Harappans had no genetic signatures from Iranian or steppe groups, but rather a movement of Harappans into Central Asia.@ProfVasant https://t.co/ZuLoig6Ooa",2020-05-11 16:46:06+00:00,0,0,Asians
1240749733255065600,deadcstro,"RT @jaymie_sophia: mf is in Daly City, how can you be racist to Asians when youâ€™re in a city WITH MOSTLY ASIANS????? https://t.co/K3ELQqgG3N",2020-03-19 21:19:23+00:00,0,1,Asians
1240480317758230528,david_fraas,@EugeneCho But yet. I don't hate Asians for it. I wish people would quit telling me whom I'm gonna hate everyday. Seems racist to me.,2020-03-19 03:28:49+00:00,0,0,Asians
1260025200147484673,jennife04132135,RT @briantylercohen: @realDonaldTrump BREAKING: Man who put Asians in danger on a daily basis with racist tropes lectures about the dangers of using racist tropes.,2020-05-12 01:53:12+00:00,0,1,Asians
1272381396871524360,LaVieEnRose__R,"RT @stevenzequ: itâ€™s unbelievable that asians are getting beat up for covid, blacks are being systematically killed, and latinx children are being abused in cages, yet still people have the audacity to claim â€œa*l l*ves m*atterâ€ while they idly sit by and enjoy their privilege.",2020-06-15 04:12:19+00:00,0,1,Asians
1249185202942984193,Najayy,Okay Iâ€™m confused why Asians treating Africans as if they started Corona,2020-04-12 03:58:55+00:00,0,0,Asians
1223944337794293760,nyxisthenight,"RT @CorpusRen: ALSO. IF YOU SEE ASIANS WEARING FACE MASKS, IT MAY NOT MEAN THEY'RE SICK. IT IS A CONSCIENTIOUS CULTURE. WE WEAR IT AS A PREVENTATIVE FOR OURSELVES TO LIMIT GETTING OR SPREADING ILLNESS. WE DON'T START WEARING NOT AFTER THE FACT. SO  DON'T BE AN ASSHOLE WHEN YOU SEE US WEAR IT.ðŸ˜ ",2020-02-02 12:20:44+00:00,0,1,Asians
1250764311137406976,SANTOS133,RT @doamuslims: #UAE Celebrity Tariq Al-Mehyas #Racism on Display!  He says â€œWhen we say â€˜migrantsâ€™ we ... mean Asians [not Arabs]â€  â€œDo you think we treat a Bengali worker &amp; Egyptian equally? Allah Forbid! X 3â€ https://t.co/D23M89HBOZ,2020-04-16 12:33:44+00:00,0,0,Asians
1221621524844535809,tillingfolk,@hoangvanxiem @ProleLumpen But letâ€™s not vilify our cousins in Korea &amp; Vietnam. Yes Asians eat Dog. And ? ... really should be how itâ€™s seen. #respect,2020-01-27 02:30:42+00:00,0,0,Asians
1264623702114787330,starbringer_101,RT @yimmygee: asians will be like japan colonized my country and weebs will be like no naruto would never have done that,2020-05-24 18:26:00+00:00,0,0,Asians
1275742899586707456,bookeraptor,"RT @ProjectLincoln: Trump has insulted Asians (kung flu), African Americans (sons of bitches) and Latinos (rapists).  Confederates? â€œBeautiful monumentsâ€ and â€œgreat heritage.â€  What does that say about Trumpâ€™s America?",2020-06-24 10:49:44+00:00,0,1,Asians
1267569434157215744,th3zamari,RT @keilahhhjd: A message for my fellow Asians:  Iâ€™m about to be VERY transparent with yall.,2020-06-01 21:31:18+00:00,0,0,Asians
1324250536514883585,MindofLoki,Latinos and Asians for Tr*mp gon mess around and assimilate themselves right into an ICE detention center.,2020-11-05 07:21:45+00:00,0,0,Asians
1267643026291060737,snicksthedevil,RT @keilahhhjd: A message for my fellow Asians:  Iâ€™m about to be VERY transparent with yall.,2020-06-02 02:23:43+00:00,0,0,Asians
1272211325255593984,FernandaMesser1,"RT @stevenzequ: itâ€™s unbelievable that asians are getting beat up for covid, blacks are being systematically killed, and latinx children are being abused in cages, yet still people have the audacity to claim â€œa*l l*ves m*atterâ€ while they idly sit by and enjoy their privilege.",2020-06-14 16:56:31+00:00,0,1,Asians
